archetype,scenario,seed,year,techs,researchActive,scholars,allTechDone
conquest,baseline,19,12,4,engineering,0,0
conquest,baseline,19,13,4,engineering,0,0
conquest,baseline,19,14,5,,0,0
conquest,baseline,19,15,5,,0,0
conquest,baseline,19,16,5,,0,0
conquest,baseline,19,17,5,,0,0
conquest,baseline,19,18,5,,0,0
conquest,baseline,19,19,5,,0,0
conquest,baseline,19,20,5,,0,0
conquest,baseline,19,21,5,,0,0
conquest,baseline,19,22,5,,0,0
conquest,baseline,42,1,2,horsemanship,0,0
conquest,baseline,42,2,2,horsemanship,0,0
conquest,baseline,42,3,2,horsemanship,0,0
conquest,baseline,42,4,2,horsemanship,0,0
conquest,baseline,42,5,2,horsemanship,0,0
conquest,baseline,42,6,3,,0,0
conquest,baseline,42,7,3,masonry,0,0
conquest,baseline,42,8,3,masonry,0,0
conquest,baseline,42,9,3,masonry,0,0
conquest,baseline,42,10,3,masonry,0,0
conquest,baseline,42,11,3,masonry,0,0
conquest,baseline,42,12,3,masonry,0,0
conquest,baseline,42,13,3,masonry,0,0
conquest,baseline,42,14,4,,0,0
conquest,baseline,42,15,4,engineering,0,0
conquest,baseline,42,16,4,engineering,0,0
conquest,baseline,42,17,4,engineering,0,0
conquest,baseline,42,18,4,engineering,0,0
conquest,baseline,42,19,4,engineering,0,0
conquest,baseline,42,20,4,engineering,0,0
conquest,baseline,42,21,4,engineering,0,0
conquest,baseline,42,22,4,engineering,0,0
conquest,baseline,42,23,4,engineering,0,0
conquest,baseline,42,24,5,,0,0
conquest,baseline,42,25,5,,0,0
faith,baseline,7,1,2,masonry,0,0
faith,baseline,7,2,2,masonry,0,0
faith,baseline,7,3,2,masonry,0,0
faith,baseline,7,4,2,masonry,0,0
faith,baseline,7,5,2,masonry,0,0
faith,baseline,7,6,2,masonry,0,0
faith,baseline,7,7,2,masonry,0,0
faith,baseline,7,8,3,,0,0
faith,baseline,7,9,3,philosophy,0,0
faith,baseline,7,10,3,philosophy,0,0
faith,baseline,7,11,3,philosophy,0,0
faith,baseline,7,12,3,philosophy,0,0
faith,baseline,7,13,3,philosophy,0,0
faith,baseline,7,14,3,philosophy,0,0
faith,baseline,7,15,3,philosophy,0,0
faith,baseline,7,16,3,philosophy,0,0
faith,baseline,7,17,3,philosophy,0,0
faith,baseline,7,18,3,philosophy,0,0
faith,baseline,19,1,2,masonry,0,0
faith,baseline,19,2,2,masonry,0,0
faith,baseline,19,3,2,masonry,0,0
faith,baseline,19,4,3,,0,0
faith,baseline,19,5,3,philosophy,0,0
faith,baseline,19,6,3,philosophy,0,0
faith,baseline,19,7,3,philosophy,0,0
faith,baseline,19,8,3,philosophy,0,0
faith,baseline,19,9,3,philosophy,0,0
faith,baseline,19,10,4,,0,0
faith,baseline,19,11,4,,0,0
faith,baseline,19,12,4,,0,0
faith,baseline,19,13,4,,0,0
faith,baseline,19,14,4,,0,0
faith,baseline,19,15,4,,0,0
faith,baseline,19,16,4,,0,0
faith,baseline,19,17,4,,0,0
faith,baseline,19,18,4,,0,0
faith,baseline,19,19,4,,0,0
faith,baseline,19,20,4,,0,0
faith,baseline,19,21,4,,0,0
faith,baseline,19,22,4,,0,0
faith,baseline,19,23,4,,0,0
faith,baseline,42,1,2,masonry,0,0
faith,baseline,42,2,2,masonry,0,0
faith,baseline,42,3,2,masonry,0,0
faith,baseline,42,4,2,masonry,0,0
faith,baseline,42,5,2,masonry,0,0
faith,baseline,42,6,2,masonry,0,0
faith,baseline,42,7,2,masonry,0,0
faith,baseline,42,8,3,,0,0
faith,baseline,42,9,3,philosophy,0,0
faith,baseline,42,10,3,philosophy,0,0
faith,baseline,42,11,3,philosophy,0,0
faith,baseline,42,12,3,philosophy,0,0
faith,baseline,42,13,3,philosophy,0,0
faith,baseline,42,14,3,philosophy,0,0
faith,baseline,42,15,3,philosophy,0,0
faith,baseline,42,16,3,philosophy,0,0
faith,baseline,42,17,4,,0,0
faith,baseline,42,18,4,,0,0
faith,baseline,42,19,4,,0,0
faith,baseline,42,20,4,,0,0
faith,baseline,42,21,4,,0,0
faith,baseline,42,22,4,,0,0
faith,baseline,42,23,4,,0,0
faith,baseline,42,24,4,,0,0
faith,baseline,42,25,4,,0,0
faith,baseline,42,26,4,,0,0
merchant,baseline,7,1,2,currency,0,0
merchant,baseline,7,2,2,currency,0,0
merchant,baseline,7,3,2,currency,0,0
merchant,baseline,7,4,2,currency,0,0
merchant,baseline,7,5,2,currency,0,0
merchant,baseline,7,6,3,,0,0
merchant,baseline,7,7,3,masonry,0,0
merchant,baseline,7,8,3,masonry,0,0
merchant,baseline,7,9,3,masonry,0,0
merchant,baseline,7,10,3,masonry,0,0
merchant,baseline,7,11,3,masonry,0,0
merchant,baseline,7,12,3,masonry,0,0
merchant,baseline,7,13,3,masonry,0,0
merchant,baseline,7,14,4,,0,0
merchant,baseline,7,15,4,irrigation,0,0
merchant,baseline,7,16,4,irrigation,0,0
merchant,baseline,7,17,4,irrigation,0,0
merchant,baseline,7,18,4,irrigation,0,0
merchant,baseline,7,19,4,irrigation,0,0
merchant,baseline,7,20,4,irrigation,0,0
merchant,baseline,7,21,4,irrigation,0,0
merchant,baseline,7,22,5,banking,0,0
merchant,baseline,7,23,5,banking,0,0
merchant,baseline,7,24,5,banking,0,0
merchant,baseline,7,25,5,banking,0,0
merchant,baseline,7,26,5,banking,0,0
merchant,baseline,7,27,5,banking,0,0
merchant,baseline,7,28,5,banking,0,0
