archetype,seed,year,spyPosts,freeSpies,spyTech
builder,42,82,0,0,0
builder,42,83,0,0,0
builder,42,84,0,0,0
builder,42,85,0,0,0
builder,42,86,0,0,0
builder,42,87,0,0,0
builder,42,88,0,0,0
builder,42,89,0,0,0
builder,42,90,0,0,0
builder,42,91,0,0,0
builder,42,92,0,0,0
builder,42,93,0,0,0
builder,42,94,0,0,0
builder,42,95,0,0,0
builder,42,96,0,0,0
builder,42,97,0,0,0
builder,42,98,0,0,0
builder,42,99,0,0,0
builder,42,100,0,0,0
isolationist,7,1,0,0,0
isolationist,7,2,0,0,0
isolationist,7,3,0,0,0
isolationist,7,4,0,0,0
isolationist,7,5,0,0,0
isolationist,7,6,0,0,0
isolationist,7,7,0,0,0
isolationist,7,8,0,0,0
isolationist,7,9,0,0,0
isolationist,7,10,0,0,0
isolationist,7,11,0,0,0
isolationist,7,12,0,0,0
isolationist,7,13,0,0,0
isolationist,7,14,0,0,0
isolationist,7,15,0,0,0
isolationist,7,16,0,0,0
isolationist,7,17,0,0,0
isolationist,7,18,0,0,0
isolationist,7,19,0,0,0
isolationist,7,20,0,0,0
isolationist,7,21,0,0,0
isolationist,7,22,0,0,0
isolationist,7,23,0,0,0
isolationist,42,1,0,0,0
isolationist,42,2,0,0,0
isolationist,42,3,0,0,0
isolationist,42,4,0,0,0
isolationist,42,5,0,0,0
isolationist,42,6,0,0,0
isolationist,42,7,0,0,0
isolationist,42,8,0,0,0
isolationist,42,9,0,0,0
isolationist,42,10,0,0,0
isolationist,42,11,0,0,0
isolationist,42,12,0,0,0
isolationist,42,13,0,0,0
isolationist,42,14,0,0,0
isolationist,42,15,0,0,0
isolationist,42,16,0,0,0
isolationist,42,17,0,0,0
isolationist,42,18,0,0,0
isolationist,42,19,0,0,0
isolationist,42,20,0,0,0
isolationist,42,21,0,0,0
isolationist,42,22,0,0,0
isolationist,42,23,0,0,0
expansionist,7,1,0,0,0
expansionist,7,2,0,0,0
expansionist,7,3,0,0,0
expansionist,7,4,0,0,0
expansionist,7,5,0,0,0
expansionist,7,6,0,0,0
expansionist,7,7,0,0,0
expansionist,7,8,0,0,0
expansionist,7,9,0,0,0
expansionist,7,10,0,0,0
expansionist,7,11,0,0,0
expansionist,7,12,0,0,0
expansionist,7,13,0,0,0
expansionist,7,14,0,0,0
expansionist,7,15,0,0,0
expansionist,7,16,0,0,0
expansionist,7,17,0,0,0
expansionist,7,18,0,0,0
expansionist,7,19,0,0,0
expansionist,7,20,0,0,0
expansionist,7,21,0,0,0
expansionist,7,22,0,0,0
expansionist,42,1,0,0,0
expansionist,42,2,0,0,0
expansionist,42,3,0,0,0
expansionist,42,4,0,0,0
expansionist,42,5,0,0,0
expansionist,42,6,0,0,0
expansionist,42,7,0,0,0
expansionist,42,8,0,0,0
expansionist,42,9,0,0,0
expansionist,42,10,0,0,0
expansionist,42,11,0,0,0
expansionist,42,12,0,0,0
expansionist,42,13,0,0,0
expansionist,42,14,0,0,0
expansionist,42,15,0,0,0
expansionist,42,16,0,0,0
expansionist,42,17,0,0,0
expansionist,42,18,0,0,0
expansionist,42,19,0,0,0
expansionist,42,20,0,0,0
expansionist,42,21,0,0,0
expansionist,42,22,0,0,0
expansionist,42,23,0,0,0
expansionist,42,24,0,0,0
balanced,7,1,0,0,0
balanced,7,2,0,0,0
balanced,7,3,0,0,0
balanced,7,4,0,0,0
balanced,7,5,0,0,0
balanced,7,6,0,0,0
balanced,7,7,0,0,0
balanced,7,8,0,0,0
balanced,7,9,0,0,0
balanced,7,10,0,0,0
balanced,7,11,0,0,0
balanced,7,12,0,0,0
balanced,7,13,0,0,0
balanced,7,14,0,0,0
balanced,7,15,0,0,0
balanced,7,16,0,0,0
balanced,7,17,0,0,0
balanced,7,18,0,0,0
balanced,7,19,0,0,0
balanced,7,20,0,0,0
balanced,7,21,0,0,0
balanced,7,22,0,0,0
balanced,7,23,0,0,0
balanced,7,24,0,0,0
balanced,7,25,0,0,0
balanced,7,26,0,0,0
balanced,7,27,0,0,0
balanced,7,28,0,0,0
balanced,7,29,0,0,0
balanced,7,30,0,0,0
balanced,7,31,0,0,0
balanced,7,32,0,0,0
balanced,7,33,0,0,0
balanced,7,34,0,0,0
balanced,7,35,0,0,0
balanced,7,36,0,0,0
balanced,7,37,0,0,0
balanced,7,38,0,0,0
balanced,7,39,0,0,0
balanced,7,40,0,0,0
balanced,7,41,0,0,0
balanced,7,42,0,0,0
balanced,7,43,0,0,0
balanced,7,44,0,0,0
balanced,7,45,0,0,0
balanced,7,46,0,0,0
balanced,7,47,0,0,0
balanced,7,48,0,0,0
balanced,7,49,0,0,0
balanced,7,50,0,0,0
balanced,7,51,0,0,0
balanced,7,52,0,0,0
balanced,7,53,0,0,0
balanced,7,54,0,0,0
balanced,7,55,0,0,0
balanced,7,56,0,0,0
balanced,7,57,0,0,0
balanced,7,58,0,0,0
balanced,7,59,0,0,0
balanced,7,60,0,0,0
balanced,7,61,0,0,0
balanced,7,62,0,0,0
balanced,7,63,0,0,0
balanced,7,64,0,0,0
balanced,7,65,0,0,0
balanced,7,66,0,0,0
balanced,7,67,0,0,0
balanced,7,68,0,0,0
balanced,7,69,0,0,0
balanced,7,70,0,0,0
balanced,7,71,0,0,0
balanced,7,72,0,0,0
balanced,7,73,0,0,0
balanced,7,74,0,0,0
balanced,7,75,0,0,0
balanced,7,76,0,0,0
balanced,7,77,0,0,0
balanced,7,78,0,0,0
balanced,7,79,0,0,0
balanced,7,80,0,0,0
balanced,7,81,0,0,0
balanced,7,82,0,0,0
balanced,7,83,0,0,0
balanced,7,84,0,0,0
balanced,7,85,0,0,0
balanced,7,86,0,0,0
balanced,7,87,0,0,0
balanced,7,88,0,0,0
balanced,7,89,0,0,0
balanced,7,90,0,0,0
balanced,7,91,0,0,0
balanced,7,92,0,0,0
balanced,7,93,0,0,0
balanced,7,94,0,0,0
balanced,7,95,0,0,0
balanced,7,96,0,0,0
balanced,7,97,0,0,0
balanced,7,98,0,0,0
balanced,7,99,0,0,0
balanced,7,100,0,0,0
balanced,42,1,0,0,0
balanced,42,2,0,0,0
balanced,42,3,0,0,0
balanced,42,4,0,0,0
balanced,42,5,0,0,0
balanced,42,6,0,0,0
balanced,42,7,0,0,0
balanced,42,8,0,0,0
balanced,42,9,0,0,0
balanced,42,10,0,0,0
balanced,42,11,0,0,0
balanced,42,12,0,0,0
balanced,42,13,0,0,0
balanced,42,14,0,0,0
balanced,42,15,0,0,0
balanced,42,16,0,0,0
balanced,42,17,0,0,0
balanced,42,18,0,0,0
balanced,42,19,0,0,0
balanced,42,20,0,0,0
balanced,42,21,0,0,0
balanced,42,22,0,0,0
exploit-hunter,7,1,0,0,0
exploit-hunter,7,2,0,0,0
exploit-hunter,7,3,0,0,0
exploit-hunter,7,4,0,0,0
exploit-hunter,7,5,0,0,0
exploit-hunter,7,6,0,0,0
exploit-hunter,7,7,0,0,0
exploit-hunter,7,8,0,0,0
exploit-hunter,7,9,0,0,0
exploit-hunter,7,10,0,0,0
exploit-hunter,7,11,0,0,0
exploit-hunter,7,12,0,0,0
exploit-hunter,7,13,0,0,0
exploit-hunter,7,14,0,0,0
exploit-hunter,7,15,0,0,0
exploit-hunter,7,16,0,0,0
exploit-hunter,7,17,0,0,0
exploit-hunter,7,18,0,0,0
exploit-hunter,7,19,0,0,0
exploit-hunter,7,20,0,0,0
exploit-hunter,7,21,0,0,0
exploit-hunter,7,22,0,0,0
exploit-hunter,7,23,0,0,0
exploit-hunter,7,24,0,0,0
exploit-hunter,7,25,0,0,0
exploit-hunter,7,26,0,0,0
exploit-hunter,7,27,0,0,0
exploit-hunter,7,28,0,0,0
exploit-hunter,7,29,0,0,0
exploit-hunter,7,30,0,0,0
exploit-hunter,7,31,0,0,0
exploit-hunter,7,32,0,0,0
