archetype,seed,year,treasury,tax,trade,upkeep,net,routes,resTotal,gold,iron,timber,horses
merchant,42,55,677,129,66,96,99,0,44,3,4,0,7
merchant,42,56,884,107,80,96,91,0,44,3,4,0,7
merchant,42,57,1059,120,95,96,119,0,44,3,4,0,7
merchant,42,58,1240,147,109,96,160,0,44,3,4,0,7
merchant,42,59,1450,124,125,96,153,0,44,3,4,0,7
merchant,42,60,1752,128,148,96,180,0,44,3,4,0,7
merchant,42,61,2016,133,168,96,205,0,44,3,4,0,7
merchant,42,62,2288,133,176,96,213,0,44,3,4,0,7
merchant,42,63,2539,116,176,100,192,0,44,3,4,0,7
merchant,42,64,2799,129,176,104,201,0,44,3,4,0,7
merchant,42,65,3062,132,176,104,204,0,49,3,4,0,7
merchant,42,66,3338,145,176,104,217,0,44,3,4,0,7
merchant,42,67,3655,144,176,104,216,0,51,3,4,0,6
merchant,42,68,3935,149,176,104,221,0,45,3,4,0,6
merchant,42,69,4187,144,176,104,216,0,45,3,4,0,6
merchant,42,70,4464,146,176,104,218,0,45,3,4,0,6
merchant,42,71,4776,181,176,104,253,0,45,3,4,0,6
merchant,42,72,5029,144,176,104,216,0,45,3,4,0,6
merchant,42,73,5308,151,176,107,220,0,45,3,4,0,6
merchant,42,74,5601,166,176,108,234,0,45,3,4,0,6
merchant,42,75,5888,160,176,108,228,0,45,3,4,0,6
merchant,42,76,6176,161,176,108,229,0,45,3,4,0,6
merchant,42,77,6521,177,176,108,245,0,45,3,4,0,6
merchant,42,78,6828,180,176,108,248,0,45,3,4,0,6
merchant,42,79,7143,188,176,108,256,0,52,3,4,0,6
merchant,42,80,7461,191,176,108,259,0,45,3,4,0,6
merchant,42,81,7885,204,176,108,272,0,45,3,4,0,6
merchant,42,82,8181,206,176,108,274,0,45,3,4,0,6
merchant,42,83,8524,216,176,108,284,0,45,3,4,0,6
merchant,42,84,8876,225,176,108,293,0,45,3,4,0,6
merchant,42,85,9234,213,176,108,281,0,49,3,4,0,6
merchant,42,86,9767,261,176,108,329,0,44,3,4,0,6
merchant,42,87,10042,181,176,108,249,0,44,3,4,0,6
merchant,42,88,10357,189,176,109,256,0,44,3,4,0,6
merchant,42,89,10718,234,176,108,302,0,44,3,4,0,6
merchant,42,90,11101,256,176,108,324,0,44,3,4,0,6
merchant,42,91,11493,236,176,112,300,0,44,3,4,0,6
merchant,42,92,11795,207,176,112,271,0,44,3,4,0,6
merchant,42,93,12185,267,176,112,331,0,44,3,4,0,6
merchant,42,94,12613,251,176,118,309,0,44,3,4,0,6
merchant,42,95,12996,272,176,124,324,0,44,3,4,0,6
merchant,42,96,13409,309,176,131,354,0,44,3,4,0,6
merchant,42,97,13822,221,176,137,260,0,44,3,4,0,6
merchant,42,98,14194,284,176,143,317,0,44,3,4,0,6
merchant,42,99,14564,287,176,152,311,0,44,3,4,0,6
merchant,42,100,14941,300,176,158,318,0,44,3,4,0,6
nomad,7,1,75,27,16,54,-11,0,171,3,15,60,12
nomad,7,2,56,24,16,53,-13,0,193,3,17,67,12
nomad,7,3,0,26,16,54,-12,0,197,3,17,67,12
nomad,7,4,0,28,16,56,-12,0,231,3,17,67,12
nomad,7,5,0,28,16,56,-12,0,235,3,17,67,12
nomad,7,6,0,25,16,58,-17,0,239,3,17,67,12
nomad,7,7,0,25,16,64,-23,0,243,3,17,67,12
nomad,7,8,0,24,16,63,-23,0,247,3,17,67,12
nomad,7,9,0,23,16,61,-22,0,251,3,17,67,12
nomad,7,10,0,21,16,60,-23,0,255,3,17,67,12
nomad,7,11,0,24,16,60,-20,0,259,3,17,67,12
nomad,7,12,0,25,16,60,-19,0,263,3,17,67,12
nomad,7,13,0,27,16,61,-18,0,267,3,17,67,12
nomad,7,14,0,29,16,62,-17,0,271,3,17,67,12
nomad,7,15,0,24,16,60,-20,0,275,3,17,67,12
nomad,7,16,0,24,16,60,-20,0,279,3,17,67,12
nomad,7,17,0,28,16,60,-16,0,296,3,17,67,12
nomad,7,18,0,30,16,64,-18,0,300,3,17,67,12
nomad,7,19,0,28,16,66,-22,0,304,3,17,67,12
nomad,7,20,0,28,16,64,-20,0,308,3,17,67,12
nomad,7,21,0,37,16,64,-11,0,312,3,17,67,12
nomad,7,22,0,32,16,64,-16,0,316,3,17,67,12
nomad,7,23,0,34,16,64,-14,0,320,3,17,67,12
nomad,7,24,0,39,16,64,-9,0,324,3,17,67,12
nomad,7,25,0,44,16,64,-4,0,328,3,17,67,12
nomad,42,1,73,25,16,54,-13,0,175,3,15,60,12
nomad,42,2,37,26,16,53,-11,0,187,3,15,62,12
nomad,42,3,2,28,16,53,-9,0,195,3,15,62,12
nomad,42,4,31,24,16,52,-12,0,204,3,15,63,12
nomad,42,5,42,24,16,52,-12,0,212,3,15,63,12
nomad,42,6,0,24,16,54,-14,0,220,3,15,63,12
nomad,42,7,0,24,16,60,-20,0,228,3,15,63,12
nomad,42,8,24,22,16,61,-23,0,236,3,15,63,12
nomad,42,9,2,23,16,61,-22,0,244,3,15,63,12
nomad,42,10,0,24,16,61,-21,0,252,3,15,63,12
nomad,42,11,0,25,16,61,-20,0,260,3,15,63,12
nomad,42,12,0,28,16,63,-19,0,268,3,15,63,12
nomad,42,13,0,28,16,64,-20,0,276,3,15,63,12
nomad,42,14,0,25,16,64,-23,0,284,3,15,63,12
nomad,42,15,0,28,16,64,-20,0,292,3,15,63,12
nomad,42,16,0,28,16,64,-20,0,315,3,15,63,12
nomad,42,17,0,32,16,66,-18,0,308,3,15,63,12
nomad,42,18,0,29,16,64,-19,0,316,3,15,63,12
nomad,42,19,0,28,16,64,-20,0,324,3,15,63,12
nomad,42,20,55,30,16,64,-18,0,332,3,15,63,12
nomad,42,21,16,28,16,65,-21,0,354,3,15,63,12
nomad,42,22,0,28,16,65,-21,0,362,3,15,63,12
nomad,42,23,0,28,16,65,-21,0,370,3,15,63,12
nomad,42,24,0,28,16,64,-20,0,378,3,15,63,12
nomad,42,25,0,28,16,64,-20,0,386,3,15,63,12
nomad,42,26,0,28,16,64,-20,0,394,3,15,63,12
nomad,42,27,0,28,16,64,-20,0,402,3,15,63,12
nomad,42,28,0,28,16,64,-20,0,410,3,15,63,12
builder,7,1,70,58,16,54,20,0,153,3,15,50,12
builder,7,2,45,52,16,54,14,0,155,3,15,50,12
builder,7,3,10,55,16,54,17,0,157,3,15,50,12
builder,7,4,12,56,16,56,16,0,188,3,15,50,12
builder,7,5,12,56,16,56,16,0,188,3,15,50,12
builder,7,6,0,50,16,56,10,0,188,3,15,50,12
builder,7,7,0,49,16,56,9,0,188,3,15,50,12
builder,7,8,0,48,16,56,8,0,188,3,15,50,12
builder,7,9,2,48,16,60,4,0,188,3,15,50,12
builder,7,10,4,46,16,60,2,0,188,3,15,50,12
builder,7,11,8,52,16,60,8,0,188,3,15,50,12
builder,7,12,20,56,16,60,12,0,190,3,15,50,12
builder,7,13,23,56,16,61,11,0,192,3,15,50,12
builder,7,14,0,60,16,62,14,0,194,3,15,50,12
builder,7,15,4,52,16,60,8,0,196,3,15,50,12
builder,7,16,2,52,16,60,8,0,198,3,15,50,12
builder,7,17,16,60,16,60,16,0,213,3,15,50,12
builder,7,18,31,63,16,64,15,0,213,3,15,50,12
builder,7,19,2,57,16,64,9,0,213,3,15,50,12
builder,7,20,4,57,16,64,9,0,213,3,15,50,12
builder,7,21,1,73,16,70,19,0,217,3,15,50,12
builder,7,22,2,60,16,72,4,0,223,3,15,50,12
builder,7,23,0,62,16,72,6,0,229,3,15,50,12
builder,7,24,10,66,16,72,10,0,235,3,15,50,12
builder,7,25,0,72,16,72,16,0,241,3,15,50,12
